from	to	Correlation	p-Value
U::gamma-glutamylleucine	U::gamma-glutamyltyrosine	0.102040523	2.22E-16
U::gamma-glutamylphenylalanine	U::gamma-glutamyltyrosine	0.092461238	2.22E-16
U::gamma-glutamylisoleucine*	U::gamma-glutamylvaline	0.081969692	2.22E-16
U::gamma-glutamylleucine	U::gamma-glutamylvaline	0.091606216	2.22E-16
U::gamma-glutamylphenylalanine	U::gamma-glutamylvaline	0.085707988	2.22E-16
U::gamma-glutamyltyrosine	U::gamma-glutamylvaline	0.074015046	2.22E-16
U::aspartate	U::glutamate	0.058088159	4.16E-11
U::2-aminobutyrate	U::glutamine	0.053247443	1.47E-09
U::asparagine	U::glutamine	0.055061896	4.00E-10
P::N-acetyl-beta-alanine	U::glutarate (pentanedioate)	0.04907971	2.50E-08
U::2-hydroxyglutarate	U::glutarate (pentanedioate)	0.060932447	4.46E-12
U::3-hydroxyglutarate	U::glutarylcarnitine (C5)	0.071610682	4.44E-16
U::glutarate (pentanedioate)	U::glutarylcarnitine (C5)	0.097581658	2.22E-16
U::3-phosphoglycerate	U::glycerol 3-phosphate (G3P)	0.07488283	2.22E-16
P::glycocholate	U::glycocholate	0.070002559	1.78E-15
P::glycocholenate sulfate*	U::glycocholenate sulfate*	0.103331389	2.22E-16
P::trans-4-hydroxyproline	U::glycolate (hydroxyacetate)	0.070937538	8.88E-16
U::2-hydroxyisobutyrate	U::glycolate (hydroxyacetate)	0.05578508	2.36E-10
P::glycolithocholate sulfate*	U::glycolithocholate sulfate*	0.091050401	2.22E-16
P::taurolithocholate 3-sulfate	U::glycolithocholate sulfate*	0.063291291	6.46E-13
U::alanylalanine	U::glycylglycine	0.052668923	2.21E-09
U::glycerol 3-phosphate (G3P)	U::guanidine	-0.049476448	1.92E-08
U::2-aminoadipate	U::guanidinoacetate	0.053722662	1.05E-09
U::guanidine	U::guanidinoacetate	0.055451524	3.01E-10
U::7,8-dihydroneopterin	U::guanine	0.074822777	2.22E-16
U::7-methylguanine	U::guanine	0.069830229	2.22E-15
U::dihydrobiopterin	U::guanine	0.051740068	4.20E-09
U::butyrylcarnitine	U::hexanoylcarnitine	0.055257588	3.47E-10
P::hippurate	U::hippurate	0.076454576	2.22E-16
U::benzoate	U::hippurate	0.049315903	2.14E-08
U::cinnamoylglycine	U::hippurate	0.051262501	5.82E-09
P::homocitrulline	U::homocitrulline	0.076773617	2.22E-16
P::homostachydrine*	U::homostachydrine*	0.134497522	2.22E-16
U::3,4-dihydroxyphenylacetate	U::homovanillate (HVA)	0.12468181	2.22E-16
P::carnitine	U::hydroxyisovaleroyl carnitine	0.053178223	1.54E-09
U::beta-hydroxyisovalerate	U::hydroxyisovaleroyl carnitine	0.058692726	2.61E-11
P::indoleacetate	U::indoleacetylglutamine	0.113412854	2.22E-16
U::3-(4-hydroxyphenyl)lactate	U::indolelactate	0.089372827	2.22E-16
U::4-hydroxyphenylpyruvate	U::indolelactate	0.053646639	1.11E-09
U::adenosine	U::inosine	0.119948382	2.22E-16
U::hypoxanthine	U::inosine	0.067423018	1.84E-14
P::isobutyrylcarnitine	U::isobutyrylcarnitine	0.084917804	2.22E-16
U::2-methylbutyrylcarnitine (C5)	U::isobutyrylcarnitine	0.059087762	1.92E-11
P::isobutyrylcarnitine	U::isobutyrylglycine	0.050150876	1.23E-08
U::2-methylbutyrylglycine	U::isobutyrylglycine	0.065352964	1.13E-13
U::3-methylcrotonylglycine	U::isobutyrylglycine	0.05323658	1.48E-09
U::isobutyrylcarnitine	U::isobutyrylglycine	0.067167463	2.31E-14
P::erythritol	U::isosorbide	0.054855672	4.65E-10
U::erythritol	U::isosorbide	0.057630323	5.90E-11
U::3-dehydrocarnitine*	U::isovalerylcarnitine	0.049236264	2.25E-08
U::acetylcarnitine	U::isovalerylcarnitine	0.065772113	7.86E-14
U::butyrylcarnitine	U::isovalerylcarnitine	0.052572332	2.36E-09
U::carnitine	U::isovalerylcarnitine	0.063850168	4.05E-13
U::2-methylbutyrylglycine	U::isovalerylglycine	0.05686575	1.05E-10
U::3-methylcrotonylglycine	U::isovalerylglycine	0.069765216	2.22E-15
U::isobutyrylglycine	U::isovalerylglycine	0.079570027	2.22E-16
P::kynurenate	U::kynurenate	0.086087943	2.22E-16
U::3-hydroxykynurenine	U::kynurenine	0.063563317	5.15E-13
U::2-hydroxybutyrate (AHB)	U::lactate	0.057796702	5.20E-11
U::3-hydroxybutyrate (BHBA)	U::lactate	0.049257104	2.22E-08
U::3-hydroxyisobutyrate	U::lactate	0.049773377	1.58E-08
U::isoleucine	U::leucine	0.092873373	2.22E-16
U::cystine	U::lysine	0.102311782	2.22E-16
U::glutamine	U::lysine	0.067187416	2.26E-14
U::2-hydroxyglutarate	U::malate	0.056755735	1.14E-10
U::alpha-ketoglutarate	U::malate	0.057409272	6.98E-11
U::citrate	U::malate	0.049637901	1.73E-08
U::3-ethylphenylsulfate*	U::mandelate	0.059224176	1.73E-11
P::mannitol	U::mannitol	0.149674312	2.22E-16
U::fructose	U::mannose	0.067146323	2.35E-14
P::X - 12092	U::N-6-trimethyllysine	0.091734847	2.22E-16
P::N-acetyl-beta-alanine	U::N-acetyl-beta-alanine	0.08764959	2.22E-16
P::citrulline	U::N-acetylarginine	0.052104966	3.27E-09
U::N-acetylasparagine	U::N-acetylglutamine	0.062719679	1.04E-12
U::N-acetylglutamine	U::N-acetylleucine	0.051373433	5.40E-09
U::N-acetylisoleucine	U::N-acetylleucine	0.1073895	2.22E-16
U::4-acetamidobutanoate	U::N-acetylputrescine	0.099105568	2.22E-16
U::4-hydroxyphenylpyruvate	U::N-acetyltryptophan	0.054660958	5.36E-10
U::N-acetylphenylalanine	U::N-acetyltryptophan	0.098897282	2.22E-16
U::N-acetylphenylalanine	U::N-acetyltyrosine	0.125227223	2.22E-16
U::N-acetyltryptophan	U::N-acetyltyrosine	0.107646066	2.22E-16
U::N-acetylisoleucine	U::N-acetylvaline	0.071829038	4.44E-16
P::N-methyl proline	U::N-methyl proline	0.05957186	1.31E-11
P::stachydrine	U::N-methyl proline	0.055083873	3.94E-10
U::chiro-inositol	U::N-methyl proline	0.063859087	4.01E-13
P::N-methyl proline	U::N-methylglutamate	0.070899417	8.88E-16
U::N-methyl proline	U::N-methylglutamate	0.05572989	2.45E-10
P::N1-Methyl-2-pyridone-5-carboxamide	U::N1-Methyl-2-pyridone-5-carboxamide	0.072266324	2.22E-16
P::X - 12095	U::N1-Methyl-2-pyridone-5-carboxamide	0.107876385	2.22E-16
U::1-methylnicotinamide	U::N1-Methyl-2-pyridone-5-carboxamide	0.069527959	2.66E-15
U::C-glycosyltryptophan*	U::N2-methylguanosine	0.066978173	2.75E-14
U::7,8-dihydroneopterin	U::neopterin	0.07889466	2.22E-16
U::7-methylguanine	U::neopterin	0.062523331	1.22E-12
U::adenine	U::neopterin	0.049699424	1.66E-08
U::dihydrobiopterin	U::neopterin	0.067351376	1.95E-14
U::guanine	U::neopterin	0.062144915	1.67E-12
U::3-ethylphenylsulfate*	U::o-cresol sulfate	0.096622415	2.22E-16
U::3-methyl catechol sulfate 1	U::o-cresol sulfate	0.052930567	1.84E-09
U::mandelate	U::o-cresol sulfate	0.052157043	3.15E-09
U::acetylcarnitine	U::octanoylcarnitine	0.062706706	1.05E-12
U::butyrylcarnitine	U::octanoylcarnitine	0.055145181	3.77E-10
U::carnitine	U::octanoylcarnitine	0.053187031	1.53E-09
U::hexanoylcarnitine	U::octanoylcarnitine	0.072418968	2.22E-16
U::isovalerylcarnitine	U::octanoylcarnitine	0.054806133	4.82E-10
U::citrate	U::ornithine	0.057063243	9.07E-11
U::cystine	U::ornithine	0.080753826	2.22E-16
U::lysine	U::ornithine	0.082865174	2.22E-16
U::5-oxoproline	U::orotidine	0.054765413	4.96E-10
P::4-methylcatechol sulfate	U::p-cresol sulfate	0.051681097	4.37E-09
P::p-cresol sulfate	U::p-cresol sulfate	0.095889164	2.22E-16
U::4-methylcatechol sulfate	U::p-cresol sulfate	0.064313206	2.74E-13
P::pantothenate	U::pantothenate	0.079078259	2.22E-16
P::1,7-dimethylurate	U::paraxanthine	0.048311142	4.11E-08
P::paraxanthine	U::paraxanthine	0.061028885	4.12E-12
P::theophylline	U::paraxanthine	0.059581817	1.30E-11
U::caffeine	U::paraxanthine	0.048669135	3.26E-08
P::phenol sulfate	U::phenol sulfate	0.130439159	2.22E-16
P::phenylacetylglutamine	U::phenylacetylglutamine	0.068457144	7.33E-15
U::lactose	U::phenylacetylglycine	0.093444302	2.22E-16
U::isoleucine	U::phenylalanine	0.049200297	2.31E-08
U::leucine	U::phenylalanine	0.057804503	5.17E-11
U::cinnamoylglycine	U::phenylpropionylglycine	0.061564508	2.67E-12
U::dimethylarginine (SDMA + ADMA)	U::phosphate	-0.04887547	2.85E-08
P::2-hydroxydecanoic acid	U::pimelate (heptanedioate)	0.080884486	2.22E-16
U::azelate (nonanedioate)	U::pimelate (heptanedioate)	0.086662608	2.22E-16
P::pipecolate	U::pipecolate	0.056559231	1.33E-10
P::5alpha-pregnan-3beta,20alpha-diol disulfate	U::pregnanediol-3-glucuronide	0.123273464	2.22E-16
P::pregnanediol-3-glucuronide	U::pregnanediol-3-glucuronide	0.103729144	2.22E-16
P::4-androsten-3beta,17beta-diol disulfate 1*	U::pregnen-diol disulfate*	0.048870585	2.86E-08
P::pregn steroid monosulfate*	U::pregnen-diol disulfate*	0.052848783	1.95E-09
P::pregnen-diol disulfate*	U::pregnen-diol disulfate*	0.081036221	2.22E-16
P::X - 11440	U::pregnen-diol disulfate*	0.06243239	1.32E-12
U::4-androsten-3beta,17beta-diol disulfate 1*	U::pregnen-diol disulfate*	0.064364785	2.62E-13
U::4-androsten-3beta,17beta-diol disulfate 2*	U::pregnen-diol disulfate*	0.052299397	2.85E-09
P::pro-hydroxy-pro	U::pro-hydroxy-pro	0.132760363	2.22E-16
P::trans-4-hydroxyproline	U::pro-hydroxy-pro	0.054610382	5.55E-10
U::glycylproline	U::pro-hydroxy-pro	0.069739599	2.22E-15
P::proline	U::proline	0.074468209	2.22E-16
P::X - 11315	U::proline	-0.06342192	5.79E-13
U::2-methylbutyrylcarnitine (C5)	U::propionylcarnitine	0.049147523	2.39E-08
U::3-dehydrocarnitine*	U::propionylcarnitine	0.063596207	5.01E-13
U::acetylcarnitine	U::propionylcarnitine	0.093872006	2.22E-16
U::butyrylcarnitine	U::propionylcarnitine	0.067432928	1.82E-14
U::carnitine	U::propionylcarnitine	0.092752085	2.22E-16
U::isovalerylcarnitine	U::propionylcarnitine	0.077296847	2.22E-16
U::octanoylcarnitine	U::propionylcarnitine	0.057417819	6.94E-11
U::ethanolamine	U::putrescine	0.058752001	2.49E-11
P::pyridoxate	U::pyridoxate	0.19298805	2.22E-16
P::S-methylcysteine	U::pyruvate	0.095850489	2.22E-16
P::quinate	U::quinate	0.079752459	2.22E-16
U::fumarate	U::quinolinate	0.057035402	9.27E-11
P::pyridoxate	U::riboflavin (Vitamin B2)	0.055357506	3.22E-10
U::pantothenate	U::riboflavin (Vitamin B2)	0.058469338	3.10E-11
U::pyridoxate	U::riboflavin (Vitamin B2)	0.056932513	1.00E-10
U::arabinose	U::ribose	0.068206687	9.33E-15
P::S-methylcysteine	U::S-methylcysteine	0.09950482	2.22E-16
U::pyruvate	U::S-methylcysteine	0.09390483	2.22E-16
P::2-hydroxyhippurate (salicylurate)	U::salicylate	0.123878331	2.22E-16
U::2-hydroxyhippurate (salicylurate)	U::salicylate	0.12529038	2.22E-16
P::2-hydroxyhippurate (salicylurate)	U::salicyluric glucuronide*	0.12582031	2.22E-16
U::2-hydroxyhippurate (salicylurate)	U::salicyluric glucuronide*	0.161979481	2.22E-16
U::salicylate	U::salicyluric glucuronide*	0.108427272	2.22E-16
P::dimethylglycine	U::sarcosine (N-Methylglycine)	0.071811921	4.44E-16
U::dimethylglycine	U::sarcosine (N-Methylglycine)	0.087317003	2.22E-16
P::scyllo-inositol	U::scyllo-inositol	0.092953504	2.22E-16
P::serine	U::serine	0.057348405	7.31E-11
U::ribitol	U::sorbitol	0.049234343	2.26E-08
P::stachydrine	U::stachydrine	0.135699931	2.22E-16
U::chiro-inositol	U::stachydrine	0.065333469	1.15E-13
U::N-methyl proline	U::stachydrine	0.060105859	8.62E-12
U::N-methylglutamate	U::stachydrine	0.055973905	2.05E-10
U::2-hydroxyglutarate	U::succinate	0.059614247	1.27E-11
U::malate	U::succinate	0.052537176	2.42E-09
P::carnitine	U::succinylcarnitine	0.053518326	1.21E-09
U::hydroxyisovaleroyl carnitine	U::succinylcarnitine	0.053621534	1.13E-09
U::fructose	U::sucrose	0.054422935	6.36E-10
U::beta-alanine	U::taurine	0.09369484	2.22E-16
P::taurocholenate sulfate*	U::taurocholenate sulfate*	0.053006531	1.74E-09
U::glycocholenate sulfate*	U::taurocholenate sulfate*	0.055086504	3.93E-10
P::taurolithocholate 3-sulfate	U::taurolithocholate 3-sulfate	0.050481908	9.86E-09
U::glycolithocholate sulfate*	U::taurolithocholate 3-sulfate	0.055299029	3.37E-10
U::taurocholenate sulfate*	U::taurolithocholate 3-sulfate	0.058351064	3.40E-11
P::theobromine	U::theobromine	0.09415598	2.22E-16
P::X - 13728	U::theobromine	0.056490183	1.40E-10
U::3-methylxanthine	U::theobromine	0.064968608	1.57E-13
U::7-methylxanthine	U::theobromine	0.055649054	2.60E-10
P::threitol	U::threitol	0.113861134	2.22E-16
U::citramalate	U::threitol	0.054529869	5.89E-10
P::threonine	U::threonine	0.053234256	1.48E-09
U::alanine	U::threonine	0.049575165	1.80E-08
U::methionine	U::threonine	0.05586461	2.22E-10
U::serine	U::threonine	0.071642649	4.44E-16
P::thymol sulfate	U::thymol sulfate	0.136929351	2.22E-16
P::X - 12847	U::thymol sulfate	0.090389026	2.22E-16
P::X - 17690	U::thymol sulfate	0.109011921	2.22E-16
U::2-methylbutyrylglycine	U::tigloylglycine	0.074778337	2.22E-16
U::3-methylcrotonylglycine	U::tigloylglycine	0.081212454	2.22E-16
U::isobutyrylglycine	U::tigloylglycine	0.064953173	1.59E-13
U::isovalerylglycine	U::tigloylglycine	0.089163896	2.22E-16
P::acetylcarnitine	U::tiglyl carnitine	0.057336951	7.38E-11
P::tiglyl carnitine	U::tiglyl carnitine	0.056377882	1.52E-10
P::trigonelline (N'-methylnicotinate)	U::trigonelline (N'-methylnicotinate)	0.114660574	2.22E-16
U::phenylalanine	U::tryptophan	0.07310543	2.22E-16
P::tryptophan betaine	U::tryptophan betaine	0.138767586	2.22E-16
U::tryptamine	U::tyramine	0.078253941	2.22E-16
U::leucine	U::tyrosine	0.04934138	2.10E-08
U::phenylalanine	U::tyrosine	0.080942406	2.22E-16
U::tryptophan	U::tyrosine	0.083018676	2.22E-16
P::uridine	U::uracil	0.062765828	1.00E-12
U::thymine	U::uracil	0.111697015	2.22E-16
U::7-methylguanine	U::urate	0.049685608	1.68E-08
U::isoleucine	U::valine	0.06927905	3.55E-15
U::leucine	U::valine	0.055135702	3.79E-10
U::methionine	U::valine	0.074827769	2.22E-16
U::7-methylguanine	U::xanthine	0.048698504	3.20E-08
U::N2-methylguanosine	U::xanthosine	0.052055337	3.38E-09
U::kynurenate	U::xanthurenate	0.083653029	2.22E-16
U::ribitol	U::xylitol	0.065812043	7.59E-14
U::arabonate	U::xylonate	0.075958519	2.22E-16
U::threitol	U::xylonate	0.06770709	1.42E-14
U::threonate	U::xylonate	0.059002854	2.05E-11
P::threitol	U::xylose	0.060821379	4.87E-12
P::xylose	U::xylose	0.098144851	2.22E-16
U::4-hydroxymandelate	U::xylose	0.060702212	5.36E-12
U::arabinose	U::xylose	0.061856445	2.11E-12
U::threitol	U::xylose	0.080692352	2.22E-16
U::xylonate	U::xylose	0.076760809	2.22E-16
U::alpha-ketoglutarate	U::xylulose	0.055906528	2.15E-10
U::arabinose	U::xylulose	0.048317905	4.09E-08
U::ribulose	U::xylulose	0.094418762	2.22E-16
P::piperine	U::X - 01911	0.07318383	2.22E-16
P::X - 01911	U::X - 01911	0.094361282	2.22E-16
P::X - 11452	U::X - 01911	0.057215625	8.09E-11
P::X - 12231	U::X - 01911	0.055442719	3.03E-10
P::X - 02249	U::X - 02249	0.063688048	4.64E-13
U::5-methylthioadenosine (MTA)	U::X - 02249	0.049938013	1.42E-08
U::indoleacetate	U::X - 02249	0.070148615	1.55E-15
P::X - 03056	U::X - 03056	0.145103	2.22E-16
U::1-(3-aminopropyl)-2-pyrrolidone	U::X - 03056	0.090989582	2.22E-16
P::X - 07765	U::X - 07765	0.227095079	2.22E-16
P::X - 09789	U::X - 09789	0.106822101	2.22E-16
P::X - 11247	U::X - 11247	0.203664667	2.22E-16
P::3-methylhistidine	U::X - 11332	0.091279026	2.22E-16
P::X - 13835	U::X - 11332	0.073445066	2.22E-16
U::1-methylimidazoleacetate	U::X - 11332	0.061448145	2.94E-12
U::3-methylhistidine	U::X - 11332	0.10281727	2.22E-16
P::X - 11334	U::X - 11334	0.132105045	2.22E-16
P::pro-hydroxy-pro	U::X - 11338	0.049803226	1.55E-08
U::glycylproline	U::X - 11338	0.065954558	6.71E-14
U::pro-hydroxy-pro	U::X - 11338	0.058204822	3.80E-11
P::homocitrulline	U::X - 11357	0.053279082	1.44E-09
U::homocitrulline	U::X - 11357	0.114923463	2.22E-16
U::lysine	U::X - 11357	-0.073387422	2.22E-16
P::pro-hydroxy-pro	U::X - 11360	0.064117594	3.23E-13
U::glycylproline	U::X - 11360	0.089386348	2.22E-16
U::pro-hydroxy-pro	U::X - 11360	0.064262943	2.86E-13
P::N-acetyl-beta-alanine	U::X - 11390	0.08635757	2.22E-16
U::N-acetyl-beta-alanine	U::X - 11390	0.084778987	2.22E-16
P::X - 11423	U::X - 11423	0.120513678	2.22E-16
U::pseudouridine	U::X - 11429	0.071258709	4.44E-16
P::X - 11437	U::X - 11437	0.163110439	2.22E-16
P::4-androsten-3beta,17beta-diol disulfate 1*	U::X - 11440	0.054284881	7.02E-10
P::pregnen-diol disulfate*	U::X - 11440	0.071303143	4.44E-16
P::X - 11440	U::X - 11440	0.103370356	2.22E-16
U::4-androsten-3beta,17beta-diol disulfate 1*	U::X - 11440	0.049536856	1.85E-08
U::pregnen-diol disulfate*	U::X - 11440	0.065748553	8.02E-14
P::X - 11444	U::X - 11444	0.069817663	2.22E-15
P::piperine	U::X - 11452	0.070306551	1.33E-15
P::X - 11452	U::X - 11452	0.076095615	2.22E-16
P::X - 12231	U::X - 11452	0.074397376	2.22E-16
U::X - 01911	U::X - 11452	0.06525061	1.23E-13
P::X - 11444	U::X - 11470	0.0512433	5.90E-09
P::X - 11470	U::X - 11470	0.120747612	2.22E-16
U::X - 11444	U::X - 11470	0.061672777	2.45E-12
P::X - 11452	U::X - 11485	0.051596127	4.64E-09
P::X - 11485	U::X - 11485	0.082988469	2.22E-16
P::X - 12231	U::X - 11485	0.05244008	2.59E-09
U::X - 01911	U::X - 11485	0.048352959	4.00E-08
U::X - 11452	U::X - 11485	0.05914624	1.83E-11
P::cholate	U::X - 11491	0.11808198	2.22E-16
P::X - 11491	U::X - 11491	0.091210347	2.22E-16
P::X - 11529	U::X - 11529	0.125356805	2.22E-16
P::X - 13429	U::X - 11529	0.073910369	2.22E-16
U::glycolithocholate sulfate*	U::X - 11529	0.054112972	7.95E-10
U::X - 11491	U::X - 11529	0.063568634	5.12E-13
P::X - 11561	U::X - 11561	0.100043898	2.22E-16
P::X - 11593	U::X - 11593	0.123632025	2.22E-16
U::benzene-1,2,3-triol	U::X - 11616	-0.049449977	1.96E-08
U::tryptophan betaine	U::X - 11668	0.075573655	2.22E-16
P::p-cresol sulfate	U::X - 11837	0.079752522	2.22E-16
U::4-methylcatechol sulfate	U::X - 11837	0.057043886	9.21E-11
U::p-cresol sulfate	U::X - 11837	0.092737669	2.22E-16
U::phenylacetylglutamine	U::X - 11837	0.048974519	2.67E-08
P::5-methyluridine (ribothymidine)	U::X - 11838	-0.048908167	2.79E-08
U::4-acetaminophen sulfate	U::X - 11838	0.111432636	2.22E-16
P::indoleacetate	U::X - 11843	0.048555614	3.51E-08
P::X - 11845	U::X - 11847	0.075510244	2.22E-16
P::X - 11847	U::X - 11847	0.08460475	2.22E-16
P::X - 11849	U::X - 11847	0.072950404	2.22E-16
P::X - 11858	U::X - 11847	0.073767668	2.22E-16
P::X - 17656	U::X - 11847	0.068455835	7.33E-15
P::X - 11845	U::X - 11849	0.067110784	2.44E-14
P::X - 11849	U::X - 11849	0.078710841	2.22E-16
U::X - 11847	U::X - 11849	0.074074468	2.22E-16
P::X - 11845	U::X - 11858	0.060281407	7.50E-12
P::X - 11847	U::X - 11858	0.067410441	1.87E-14
P::X - 11849	U::X - 11858	0.06280114	9.71E-13
P::X - 11858	U::X - 11858	0.07947211	2.22E-16
P::X - 17656	U::X - 11858	0.075744652	2.22E-16
U::X - 11847	U::X - 11858	0.095151852	2.22E-16
U::X - 11849	U::X - 11858	0.058834627	2.34E-11
U::N2,N2-dimethylguanosine	U::X - 11945	0.051750611	4.17E-09
U::N-acetylasparagine	U::X - 12001	0.054768841	4.95E-10
U::N2-acetyllysine	U::X - 12001	0.049881302	1.47E-08
U::X - 11852	U::X - 12010	0.106151572	2.22E-16
U::X - 12007	U::X - 12024	0.060402905	6.81E-12
U::7,8-dihydroneopterin	U::X - 12026	0.077925652	2.22E-16
U::7-methylguanine	U::X - 12026	0.091147665	2.22E-16
U::adenine	U::X - 12026	0.049495562	1.90E-08
U::dihydrobiopterin	U::X - 12026	0.062614324	1.13E-12
U::guanine	U::X - 12026	0.075972921	2.22E-16
U::neopterin	U::X - 12026	0.062125067	1.69E-12
P::X - 12039	U::X - 12039	0.068409728	7.55E-15
U::3-hydroxypyridine	U::X - 12039	0.05395957	8.87E-10
U::3-methyl catechol sulfate 1	U::X - 12039	0.048717329	3.16E-08
P::X - 12056	U::X - 12056	0.200155017	2.22E-16
P::X - 12092	U::X - 12092	0.15875857	2.22E-16
U::N-6-trimethyllysine	U::X - 12092	0.103816128	2.22E-16
P::X - 12092	U::X - 12093	0.105139804	2.22E-16
U::N-6-trimethyllysine	U::X - 12093	0.111040244	2.22E-16
U::X - 12092	U::X - 12093	0.124697436	2.22E-16
P::N1-Methyl-2-pyridone-5-carboxamide	U::X - 12095	0.079719851	2.22E-16
P::X - 12095	U::X - 12095	0.113987605	2.22E-16
U::1-methylnicotinamide	U::X - 12095	0.064737415	1.91E-13
U::N1-Methyl-2-pyridone-5-carboxamide	U::X - 12095	0.173337482	2.22E-16
U::3-aminoisobutyrate	U::X - 12097	-0.090891914	2.22E-16
P::kynurenine	U::X - 12100	0.066202142	5.42E-14
U::4-acetaminophen sulfate	U::X - 12100	-0.053944077	8.97E-10
U::C-glycosyltryptophan*	U::X - 12100	0.051363779	5.43E-09
P::X - 12107	U::X - 12107	0.120663787	2.22E-16
P::X - 12128	U::X - 12107	0.067339016	2.00E-14
U::2-octenedioate	U::X - 12108	0.051087482	6.56E-09
U::X - 11668	U::X - 12108	0.070312004	1.33E-15
U::X - 12097	U::X - 12108	0.093930464	2.22E-16
U::X - 11338	U::X - 12110	0.196579121	2.22E-16
P::X - 12092	U::X - 12112	0.07881732	2.22E-16
U::N-6-trimethyllysine	U::X - 12112	0.073370915	2.22E-16
U::X - 12092	U::X - 12112	0.111325365	2.22E-16
U::X - 12093	U::X - 12112	0.092111154	2.22E-16
U::X - 12007	U::X - 12113	0.101263711	2.22E-16
P::tiglyl carnitine	U::X - 12114	0.075030802	2.22E-16
U::tiglyl carnitine	U::X - 12114	0.088365158	2.22E-16
P::X - 12115	U::X - 12115	0.128465773	2.22E-16
U::5-hydroxymethyl-2-furoic acid	U::X - 12116	0.05814124	3.99E-11
U::3-aminoisobutyrate	U::X - 12117	-0.088526199	2.22E-16
U::X - 12097	U::X - 12117	0.083594583	2.22E-16
P::X - 12119	U::X - 12119	0.1003574	2.22E-16
U::1-kestose	U::X - 12119	0.064561603	2.22E-13
U::pyroglutamylglutamine	U::X - 12119	0.052518859	2.45E-09
P::butyrylcarnitine	U::X - 12122	0.070381853	1.33E-15
U::3-methylglutarylcarnitine (C6)	U::X - 12122	0.059207341	1.75E-11
U::N-(2-furoyl)glycine	U::X - 12123	0.079902462	2.22E-16
U::N-acetylasparagine	U::X - 12124	0.049998405	1.36E-08
U::N2-acetyllysine	U::X - 12124	0.057539072	6.33E-11
U::N-acetylglutamine	U::X - 12125	0.055825002	2.29E-10
U::N2-acetyllysine	U::X - 12125	0.05868176	2.63E-11
U::X - 12093	U::X - 12125	0.062270964	1.50E-12
U::3-hydroxysebacate	U::X - 12128	0.080417666	2.22E-16
U::xanthurenate	U::X - 12170	0.081027061	2.22E-16
U::3-aminoisobutyrate	U::X - 12173	-0.100931715	2.22E-16
U::X - 12117	U::X - 12173	0.111769462	2.22E-16
U::X - 11640	U::X - 12188	0.121202253	2.22E-16
U::X - 12125	U::X - 12191	0.04845318	3.75E-08
U::X - 12187	U::X - 12191	0.059890281	1.02E-11
P::X - 12212	U::X - 12212	0.198507778	2.22E-16
P::X - 12216	U::X - 12216	0.061678083	2.44E-12
U::X - 12126	U::X - 12216	0.071956442	4.44E-16
U::2-oxo-1-pyrrolidinepropionate	U::X - 12225	0.068630189	6.22E-15
P::X - 12230	U::X - 12230	0.090672452	2.22E-16
U::X - 12039	U::X - 12230	0.049194903	2.31E-08
P::piperine	U::X - 12231	0.070214664	1.33E-15
P::X - 11452	U::X - 12231	0.074029791	2.22E-16
P::X - 12231	U::X - 12231	0.076095532	2.22E-16
U::X - 01911	U::X - 12231	0.057779298	5.27E-11
U::X - 11452	U::X - 12231	0.095844614	2.22E-16
U::X - 11485	U::X - 12231	0.062230877	1.55E-12
P::X - 11561	U::X - 12244	0.11284245	2.22E-16
U::X - 11561	U::X - 12244	0.125514014	2.22E-16
U::N-acetylglutamine	U::X - 12252	0.048444467	3.77E-08
U::X - 12125	U::X - 12252	0.04944499	1.96E-08
U::3,5-dihydroxybenzoic acid	U::X - 12253	0.048824574	2.95E-08
U::phenylacetylglycine	U::X - 12254	0.074385262	2.22E-16
P::phenol sulfate	U::X - 12257	0.088916331	2.22E-16
U::4-acetaminophen sulfate	U::X - 12257	0.049350823	2.09E-08
U::phenol sulfate	U::X - 12257	0.087269795	2.22E-16
U::3,5-dihydroxybenzoic acid	U::X - 12258	0.072498964	2.22E-16
U::hydroquinone sulfate	U::X - 12258	0.065658488	8.66E-14
U::X - 09789	U::X - 12258	0.059005868	2.05E-11
U::X - 12253	U::X - 12258	0.134825805	2.22E-16
U::X - 11843	U::X - 12261	0.173116278	2.22E-16
P::N-acetyl-beta-alanine	U::X - 12263	0.056078433	1.90E-10
U::X - 11390	U::X - 12263	0.085779264	2.22E-16
U::X - 12267	U::X - 12270	0.050962384	7.14E-09
P::indolepropionate	U::X - 12283	0.137447166	2.22E-16
P::3-methylhistidine	U::X - 12308	0.056482623	1.40E-10
P::X - 13835	U::X - 12308	0.049777901	1.58E-08
U::1-methylimidazoleacetate	U::X - 12308	0.051505109	4.93E-09
U::3-methylhistidine	U::X - 12308	0.057873728	4.90E-11
U::X - 11332	U::X - 12308	0.089091596	2.22E-16
U::vanillate	U::X - 12328	0.095855879	2.22E-16
U::X - 12039	U::X - 12329	0.060176603	8.15E-12
U::X - 12221	U::X - 12329	0.057571506	6.18E-11
P::phenol sulfate	U::X - 12335	0.112213615	2.22E-16
U::phenol sulfate	U::X - 12335	0.100697035	2.22E-16
U::X - 12257	U::X - 12335	0.138598876	2.22E-16
U::X - 11668	U::X - 12339	0.063288477	6.47E-13
P::hippurate	U::X - 12358	0.062328556	1.43E-12
U::hippurate	U::X - 12358	0.077656037	2.22E-16
U::X - 12211	U::X - 12379	0.078247808	2.22E-16
